date,first_prize,last2,front3_1,front3_2,last3_1,last3_2,last3_3,last3_4
,927907,7,907,882,132,775,246,
,32988,88,988,481,586,636,858,
,430667,67,667,760,901,41,266,
,499336,36,336,452,472,736,46,
,331810,10,810,692,935,55,185,
,476207,7,207,932,342,363,124,
,429924,24,924,290,60,488,859,
,527384,84,384,771,51,833,349,
,565151,51,151,761,462,876,389,
,393194,94,194,419,899,74,245,
,836393,93,393,57,392,425,234,
,232897,97,897,259,248,587,515,
,430374,74,374,815,534,428,817,
,405105,5,105,630,139,878,665,
,622780,80,780,936,777,948,140,
,876763,63,763,851,910,19,63,
,742425,25,425,619,492,949,428,
,277859,59,859,956,256,79,793,
,769925,25,925,568,932,392,878,
,838739,39,739,552,932,638,458,
,778584,84,584,78,114,31,649,
,147977,77,977,454,396,946,471,
,270052,52,52,126,214,620,912,
,562856,56,856,945,83,76,803,
,910957,57,957,296,477,391,379,
,264825,25,825,589,30,923,588,
,952335,35,335,920,78,48,799,
,217948,48,948,419,162,908,641,
,381761,61,761,446,6,930,936,
,977486,86,486,912,213,52,301,
,238654,54,654,888,470,58,174,
,512434,34,434,489,890,985,184,
,952890,90,890,651,261,830,178,
,100935,35,935,173,814,105,952,
,810850,50,850,995,261,493,826,
,100344,44,344,713,864,638,116,
,24554,54,554,270,64,380,821,
,38564,64,564,492,104,427,698,
,738365,65,365,950,649,553,15,
,936177,77,177,304,861,852,53,
,582473,73,473,435,868,11,89,
,317009,9,9,667,842,401,352,
,412729,29,729,879,157,201,493,
,432747,47,747,792,227,899,652,
,492955,55,955,940,663,87,421,
,449565,65,565,868,21,629,589,
,388551,51,551,170,727,640,277,
,742518,18,518,805,27,418,871,
,970577,77,577,981,713,750,92,
,41072,72,72,713,469,134,102,
,766482,82,482,247,665,517,922,
,214768,68,768,104,982,821,240,
,316933,33,933,171,233,389,690,
,475560,60,560,682,728,441,39,
,961633,33,633,260,551,523,862,
,477452,52,452,137,571,504,606,
,9554,54,554,877,984,276,412,
,793070,70,70,448,60,210,746,
,176893,93,893,351,765,796,164,
,867134,34,134,973,766,484,656,
,772467,67,467,430,173,838,150,
,119327,27,327,100,819,683,466,
,815753,53,753,694,823,812,248,
,196345,45,345,30,736,17,833,
,800751,51,751,936,817,149,986,
,816422,22,422,530,863,561,920,
,540054,54,54,343,891,808,635,
,335022,22,22,86,892,910,394,
,168858,58,858,282,216,36,271,
,479372,72,372,172,880,759,991,
,504658,58,658,691,390,149,846,
,754622,22,622,649,180,197,449,
,185966,66,966,238,621,377,456,
,355858,58,858,621,622,4,388,
,110866,66,866,662,5,477,818,
,923373,73,373,592,958,887,748,
,96597,97,597,707,99,290,144,
,335921,21,921,591,140,825,592,
,868990,90,990,459,568,115,103,
,205588,88,588,256,967,264,611,
,312471,71,471,663,135,986,642,
,208713,13,713,874,149,114,599,
,614144,44,144,729,907,764,259,
,589207,7,207,134,929,925,262,
,653403,3,403,913,855,508,221,
,705832,32,832,120,89,666,347,
,196391,91,391,628,89,182,578,
,615366,66,366,697,790,944,788,
,697483,83,483,506,105,107,592,
,698002,2,2,8,773,97,980,
,216822,22,822,773,612,427,697,
,731342,42,342,960,253,579,263,
,739447,47,447,646,544,357,432,
,177947,47,947,876,768,477,355,
,991307,7,307,789,457,195,592,
,238511,11,511,681,557,675,944,
,941438,38,438,478,661,562,162,
,305500,0,500,31,90,120,844,
,912040,40,40,434,71,3,795,
,600589,89,589,539,93,569,964,
,187813,13,813,926,619,187,932,
,354771,71,771,4,962,712,66,
,766098,98,98,917,338,560,74,
,679545,45,545,750,495,892,813,
,461414,14,414,911,518,783,952,
,389872,72,872,296,59,959,220,
,766066,66,66,360,835,233,546,
,552784,84,784,206,80,486,993,
,135603,3,603,124,988,703,865,
,892525,25,525,219,339,67,968,
,933164,64,164,864,678,637,329,
,653062,62,62,648,202,87,20,
,441022,22,22,423,220,267,76,
,455578,78,578,618,54,969,808,
,456370,70,370,946,614,298,62,
,977085,85,85,64,415,355,192,
,895196,96,196,951,911,166,896,
,19682,82,682,676,163,120,758,
,968422,22,422,372,980,883,378,
,915344,44,344,551,918,437,899,
,505498,98,498,253,412,977,473,
,428641,41,641,511,504,12,441,
,802505,5,505,728,645,673,581,
,156050,50,50,850,568,898,231,
,994200,0,200,511,267,990,463,
,120108,8,108,577,51,739,531,
,493438,38,438,882,696,455,445,
,340264,64,264,693,46,325,390,
,481447,47,447,241,955,177,638,
,73261,61,261,74,721,566,628,
,161149,49,149,28,796,433,284,
,598714,14,714,767,657,253,945,
,590664,64,664,567,647,396,955,
,522630,30,630,375,869,499,970,
,990543,43,543,579,714,302,254,
,659152,52,152,43,700,667,79,
,805590,90,590,557,487,154,348,
,330853,53,853,921,678,200,887,
,633270,70,270,409,564,146,218,
,709670,70,670,148,951,164,341,
,729367,67,367,648,739,746,111,
,224675,75,675,198,875,383,639,
,737022,22,22,497,134,617,739,
,685706,6,706,743,399,766,2,
,683472,72,472,523,920,816,944,
,975005,5,5,480,706,261,106,
,104154,54,154,158,273,32,870,
,616426,26,426,829,958,62,910,
,119067,67,67,141,452,942,185,
,690135,35,135,102,177,179,5,
,180597,97,597,116,20,868,648,
,820715,15,715,502,501,712,827,
,107987,87,987,343,642,969,855,
,762394,94,394,755,503,956,69,
,113311,11,311,804,909,833,109,
,91982,82,982,614,375,70,550,
,205095,95,95,649,805,432,940,
,140843,43,843,280,319,528,3,
,640998,98,998,496,0,614,78,
,633616,16,616,454,7,739,33,
,836537,37,537,853,561,472,923,
,621267,67,267,471,552,756,733,
,454703,3,703,130,894,372,450,
,737016,16,16,363,585,157,780,
,119451,51,451,316,7,639,853,
,969676,76,676,915,552,673,136,
,887956,56,956,564,546,641,709,
,565311,11,311,104,943,810,443,
,93182,82,182,900,466,68,184,
,620662,62,662,392,766,71,333,
,290582,82,582,266,904,366,180,
,46251,51,251,59,338,68,602,
,437367,67,367,529,522,903,654,
,459013,13,13,570,873,781,551,
,267540,40,540,188,819,306,654,
,931342,42,342,433,972,377,396,
,674071,71,71,299,467,616,891,
,825696,96,696,575,928,323,117,
,592761,61,761,167,167,59,818,
,9315,15,315,562,260,359,291,
,70715,15,715,204,222,879,797,
,836777,77,777,639,502,731,313,
,963948,48,948,994,775,355,110,
,164311,11,311,650,94,600,713,
,997833,33,833,638,172,506,274,
,729816,16,816,916,319,166,181,
,530213,13,213,851,99,260,945,
,442183,83,183,825,409,502,698,
,51108,8,108,30,612,635,403,
,139853,53,853,301,316,881,436,
,669281,81,281,799,528,969,999,
,764354,54,354,149,787,233,242,
,561335,35,335,36,558,825,701,
,410227,27,227,284,683,47,504,
,830676,76,676,802,872,151,672,
,807506,6,506,465,932,682,837,
,591344,44,344,332,612,372,758,
,340998,98,998,656,963,333,711,
,56860,60,860,986,880,643,39,
,70416,16,416,31,383,493,430,
,386441,41,441,671,529,870,12,
,278794,94,794,639,174,228,597,
,77626,26,626,86,61,779,513,
,618818,18,818,168,430,748,848,
,691483,83,483,456,860,37,151,
,625094,94,94,353,944,320,678,
,479957,57,957,927,134,718,586,
,577278,78,278,630,894,186,64,
,660214,14,214,586,456,129,274,
,307213,13,213,414,560,914,47,
,342860,60,860,693,610,487,357,
,190611,11,611,131,865,438,549,
,464147,47,147,507,780,949,249,
,181813,13,813,553,61,754,985,
,836569,69,569,581,150,759,442,
,270744,44,744,204,807,637,857,
,920846,46,846,290,813,160,442,
,261080,80,80,744,619,357,556,
,987844,44,844,188,62,867,284,
,65720,20,720,657,825,844,13,
,872795,95,795,963,160,425,510,
,81784,84,784,917,244,646,446,
,748493,93,493,220,150,17,718,
,599991,91,991,520,124,19,49,
,595123,23,123,650,761,16,63,
,858076,76,76,192,353,162,195,
,820088,88,88,670,146,497,815,
,840043,43,43,639,842,589,819,
,663807,7,807,728,29,461,433,
,146573,73,573,172,21,537,56,
,496930,30,930,664,545,638,827,
,572701,1,701,792,608,529,435,
,236864,64,864,748,672,851,275,
,612897,97,897,694,602,343,562,
,665959,59,959,483,816,857,889,
,947195,95,195,344,251,858,337,
,675704,4,704,650,443,279,777,
,294240,40,240,719,757,621,424,
,241559,59,559,863,929,826,771,
,875462,62,462,995,395,737,300,
,974201,1,201,398,308,772,830,
,405124,24,124,982,803,564,591,
,444413,13,413,248,86,897,466,
,527514,14,514,982,513,356,879,
,83537,37,537,591,323,196,587,
,156967,67,967,302,359,575,965,
,54272,72,272,317,971,454,144,
,509691,91,691,679,826,237,509,
,676573,73,573,119,96,204,120,
,537146,46,146,616,357,699,825,
,643997,97,997,245,79,187,840,
,88067,67,67,525,106,218,967,
,388437,37,437,380,256,560,567,
,551450,50,450,926,541,652,790,
,617629,29,629,524,261,628,800,
,100474,74,474,364,448,227,52,
,976779,79,779,981,484,147,913,
,499884,84,884,947,162,475,333,
,750792,92,792,574,27,717,30,
,151995,95,995,476,122,570,203,
,879454,54,454,268,793,141,585,
,593856,56,856,443,817,556,84,
,179528,28,528,668,223,659,205,
,951088,88,88,211,683,495,805,
,512694,94,694,242,904,322,559,
,198019,19,19,180,822,708,658,
,947788,88,788,970,891,665,444,
,814368,68,368,598,898,189,764,
,470136,36,136,23,926,669,275,
,352768,68,768,193,899,326,98,
,151091,91,91,616,466,508,336,
,332687,87,687,917,715,472,810,
,625379,79,379,766,662,980,945,
,318311,11,311,216,491,187,359,
,869656,56,656,814,221,269,615,
,978140,40,140,753,214,437,185,
,247351,51,351,541,752,346,619,
,49584,84,584,774,352,221,550,
,660765,65,765,907,13,388,392,
,19128,28,128,276,737,966,945,
,304855,55,855,727,606,644,439,
,681455,55,455,499,776,644,287,
,256556,56,556,269,67,55,499,
,318302,2,302,218,824,446,619,
,327686,86,686,47,484,561,459,
,952808,8,808,687,325,406,390,
,714426,26,426,745,164,273,870,
,239422,22,422,850,788,837,767,
,282069,69,69,79,625,641,943,
,322154,54,154,869,241,927,162,
,317092,92,92,761,398,190,882,
,876454,54,454,515,582,975,828,
,620837,37,837,836,938,722,556,
,265333,33,333,512,354,556,183,
,464819,19,819,590,702,746,692,
,248122,22,122,965,710,853,37,
,939901,1,901,194,289,406,678,
,46698,98,698,826,787,855,73,
,105615,15,615,173,747,351,686,
,220381,81,381,554,605,975,114,
,504692,92,692,883,48,862,682,
,53581,81,581,995,609,686,813,
,427039,39,39,62,549,266,749,
,646847,47,847,672,250,440,912,
,411454,54,454,710,340,190,221,
,869070,70,70,958,285,974,621,
,198162,62,162,481,950,878,55,
,922388,88,388,401,866,672,530,
,628406,96,906,990,798,713,339,
,510004,4,4,50,654,129,766,
,683268,18,168,102,342,923,448,
,609584,94,984,982,504,902,225,
,167677,97,977,976,110,365,96,
,758304,84,804,879,165,294,428,
,712844,24,244,223,623,251,229,
,478193,13,193,188,46,255,164,
,622089,39,389,367,891,718,949,
,650476,6,76,28,303,724,897,
,311405,75,705,785,396,149,26,
,596289,19,189,174,424,686,628,
,656826,76,726,739,372,902,868,
,194735,55,535,553,302,583,524,
,356080,40,480,417,474,564,989,
,207176,46,476,429,93,544,535,
,307287,77,787,769,535,317,170,
,789391,31,391,321,785,982,151,
,426981,51,581,529,675,35,704,
,172333,63,633,619,382,166,515,
,337373,13,173,141,82,631,8,
,767904,44,404,476,943,520,753,
,598468,58,568,505,173,746,268,
,479127,7,27,23,873,237,845,
,266918,98,918,972,874,902,69,
,404350,0,50,69,646,156,478,
,367063,83,863,898,294,139,959,
,751512,32,312,382,410,507,184,
,390894,4,94,94,701,103,895,
,761176,46,476,458,254,216,684,
,341597,37,397,326,489,401,928,
,428675,55,575,511,296,963,890,
,281209,69,609,600,738,227,181,
,408864,44,464,486,30,260,200,
,413774,44,474,406,273,778,446,
,568606,16,106,121,865,873,702,
,382020,30,320,329,729,189,206,
,211987,17,187,139,146,955,961,
,348847,77,747,761,813,645,11,
,163398,38,398,353,109,740,812,
,774950,80,850,899,532,916,661,
,563201,81,801,809,265,995,970,
,582555,85,855,889,859,255,60,
,768069,99,969,998,554,547,731,
,400628,18,128,119,449,968,65,
,754945,55,545,541,165,31,850,
,745933,73,733,721,171,767,507,
,542381,61,681,625,419,335,947,
,666215,5,15,23,510,563,810,
,482653,13,153,192,945,601,383,
,712092,72,792,765,19,406,153,
,368568,28,268,245,223,632,49,
,626782,12,182,135,879,263,789,
,357699,39,399,379,412,312,37,
,637957,87,857,871,752,765,654,
,687410,80,810,888,221,127,30,
,144661,51,561,568,60,307,125,
,623460,70,760,791,978,251,422,
,669777,87,877,886,712,935,593,
,795443,3,43,87,492,324,756,
,511996,86,896,856,999,813,561,
,556943,23,243,292,392,880,914,
,518419,19,119,129,169,351,245,
,282749,69,649,659,333,738,246,
,576539,79,739,786,79,444,732,
,269937,47,437,410,836,662,139,
,224470,40,470,403,624,863,13,
,121835,35,335,348,4,578,543,
,729152,42,452,460,870,902,24,
,186870,10,170,194,641,849,349,
,598692,42,492,463,936,952,683,
,114942,82,842,818,34,543,672,
,320830,10,130,176,318,87,182,
,724143,63,643,688,613,667,717,
,147074,14,174,105,540,794,6,
,437352,82,852,808,979,477,937,
,789428,58,528,578,516,537,183,
,207820,20,220,238,585,566,338,
,273044,44,444,496,978,318,977,
,479044,94,944,918,114,298,220,
,670043,3,43,49,81,237,661,
,374655,15,155,189,845,377,44,
,658054,14,154,111,459,509,753,
,167194,64,694,662,822,846,951,
,444172,42,472,458,771,134,196,
,536463,23,263,291,370,785,761,
,249637,67,637,677,318,303,485,
,253230,30,330,363,931,269,688,
,422212,42,412,463,536,296,630,
,482403,73,703,757,565,711,970,
,160686,46,486,403,819,416,103,
,589164,14,164,159,540,715,527,
,459807,67,607,672,950,783,676,
,322378,8,78,33,992,658,242,
,539649,69,649,675,79,455,458,
,532873,63,673,629,649,645,225,
,219094,94,994,905,516,367,330,
,440779,99,979,921,708,359,171,
,477194,44,494,488,237,586,692,
,122653,63,653,606,426,20,721,
,438023,3,23,82,694,516,619,
,562630,30,330,356,351,928,923,
,573880,80,880,837,43,977,58,
,520239,9,39,55,461,211,85,
,162238,8,38,83,862,938,161,
,167193,53,593,543,325,746,361,
,186718,58,518,592,579,70,973,
,381417,87,817,811,342,619,112,
,107683,53,583,543,43,641,38,
,353034,44,434,465,878,144,198,
,235547,47,447,472,118,115,227,
,507127,27,227,234,565,815,942,
,589886,86,886,801,186,644,668,
,509289,9,89,84,664,59,912,
,473425,15,125,139,301,637,195,
,324020,50,520,588,443,275,775,
,496890,20,290,215,624,452,87,
,373289,29,289,201,889,596,386,
,107849,69,649,682,756,481,259,
,399223,93,923,997,898,234,288,
